data,symbol,open,close,high,low,volume
1561680000,ADA_USDT,0.0516,0.088901,0.0938,0.0516,4.35E+07
1561766400,ADA_USDT,0.088901,0.090256,0.090879,0.085001,5.52E+07
1561852800,ADA_USDT,0.090256,0.083113,0.09111,0.083068,6.38E+07
1561939200,ADA_USDT,0.083113,0.083361,0.086059,0.079773,6.81E+07
1562025600,ADA_USDT,0.083361,0.080607,0.084038,0.076658,6.86E+07
1562112000,ADA_USDT,0.080607,0.082272,0.083144,0.079049,7.17E+07
1562198400,ADA_USDT,0.082272,0.078236,0.082445,0.078235,6.87E+07
1562284800,ADA_USDT,0.078236,0.076221,0.078296,0.07568,6.95E+07
1562371200,ADA_USDT,0.076221,0.077461,0.08064,0.075953,6.44E+07
1562457600,ADA_USDT,0.077461,0.079653,0.080035,0.076653,5.58E+07
1562544000,ADA_USDT,0.079653,0.080138,0.081793,0.078569,6.31E+07
1562630400,ADA_USDT,0.080138,0.078114,0.080361,0.077193,6.71E+07
1562716800,ADA_USDT,0.078114,0.071718,0.078324,0.069717,6.83E+07
1562803200,ADA_USDT,0.071718,0.065031,0.071803,0.062403,7.17E+07
1562889600,ADA_USDT,0.065031,0.069531,0.070603,0.063316,7.11E+07
1562976000,ADA_USDT,0.069534,0.066331,0.069844,0.06442,7.28E+07
1563062400,ADA_USDT,0.0664,0.05912,0.06709,0.058769,7.17E+07
1563148800,ADA_USDT,0.059118,0.059011,0.060105,0.05467,7.48E+07
1563235200,ADA_USDT,0.059008,0.051785,0.060918,0.05047,7.51E+07
1563321600,ADA_USDT,0.051739,0.055054,0.057773,0.050001,8.03E+07
1563408000,ADA_USDT,0.055057,0.058406,0.05963,0.05285,7.81E+07
1563494400,ADA_USDT,0.058401,0.05957,0.06,0.05586,7.34E+07
1563580800,ADA_USDT,0.059499,0.06271,0.065004,0.059214,7.17E+07
1563667200,ADA_USDT,0.062706,0.061209,0.063898,0.059327,7.22E+07
1563753600,ADA_USDT,0.061204,0.059415,0.062103,0.058044,7.11E+07
1563840000,ADA_USDT,0.059408,0.055756,0.059503,0.055202,7.94E+07
1563926400,ADA_USDT,0.055753,0.05888,0.059031,0.05386,7.89E+07
1564012800,ADA_USDT,0.058715,0.058565,0.060639,0.057999,7.95E+07
1564099200,ADA_USDT,0.058554,0.062569,0.062782,0.056817,7.91E+07
1564185600,ADA_USDT,0.062568,0.059818,0.06351,0.057102,7.84E+07
1564272000,ADA_USDT,0.059845,0.059314,0.060072,0.05671,7.94E+07
1564358400,ADA_USDT,0.05935,0.060274,0.062412,0.058052,7.90E+07
1564444800,ADA_USDT,0.060464,0.059732,0.061399,0.058725,8.04E+07
1564531200,ADA_USDT,0.059727,0.060072,0.061032,0.059091,8.06E+07
1564617600,ADA_USDT,0.060072,0.058599,0.060319,0.057775,7.30E+07
1564704000,ADA_USDT,0.058599,0.057444,0.058822,0.056098,7.93E+07
1564790400,ADA_USDT,0.057444,0.057683,0.058285,0.056904,6.19E+07
1564876800,ADA_USDT,0.057683,0.056169,0.058251,0.056001,4.15E+07
1564963200,ADA_USDT,0.056169,0.057097,0.058178,0.056112,3.78E+07
1565049600,ADA_USDT,0.057097,0.053593,0.057099,0.052993,4.36E+07
1565136000,ADA_USDT,0.053593,0.051909,0.054256,0.051471,4.03E+07
1565222400,ADA_USDT,0.051909,0.052121,0.053211,0.050383,4.09E+07
1565308800,ADA_USDT,0.052121,0.047695,0.052293,0.047347,3.95E+07
